timestamp,devaddr,fcnt,lsnr,rssi,Latitude,Longitude
2025-07-10T13:05:57.190160,1234AAAA,0,9.5,-103,0.0,0.0
2025-07-10T13:05:58.829695,1234AAAA,1,2.5,-113,0.0,0.0
2025-07-10T13:10:01.672882,1234AAAA,0,8.8,-99,1.89,0.0
2025-07-10T13:10:03.310392,1234AAAA,1,4.8,-112,1.89,0.0
2025-07-10T13:10:41.085643,1234AAAA,0,6.2,-107,3.78,0.0
2025-07-10T13:10:42.621639,1234AAAA,1,6.8,-103,3.78,0.0
2025-07-10T13:11:19.092591,1234AAAA,0,9.5,-99,5.67,0.0
2025-07-10T13:11:20.629003,1234AAAA,1,9.0,-99,5.67,0.0
2025-07-10T13:11:55.021268,1234AAAA,0,4.8,-114,5.67,1.89
2025-07-10T13:11:56.556233,1234AAAA,1,8.2,-96,5.67,1.89
2025-07-10T13:12:33.613356,1234AAAA,0,8.5,-96,3.78,1.89
2025-07-10T13:12:35.251728,1234AAAA,1,9.0,-99,3.78,1.89
2025-07-10T13:13:15.111990,1234AAAA,0,7.5,-93,1.89,1.89
2025-07-10T13:13:16.652640,1234AAAA,1,8.8,-93,1.89,1.89
2025-07-10T13:13:49.462532,1234AAAA,0,9.8,-96,0.0,1.89
2025-07-10T13:13:50.931959,1234AAAA,1,8.5,-93,0.0,1.89
2025-07-10T13:16:27.152278,1234AAAA,0,6.8,-97,0.0,3.78
2025-07-10T13:16:28.688324,1234AAAA,1,8.2,-102,0.0,3.78
2025-07-10T13:17:11.189729,1234AAAA,0,8.8,-103,1.89,3.78
2025-07-10T13:17:12.725720,1234AAAA,1,8.0,-103,1.89,3.78
2025-07-10T13:18:42.542019,1234AAAA,0,9.5,-90,3.78,3.78
2025-07-10T13:18:44.010075,1234AAAA,1,8.5,-87,3.78,3.78
2025-07-10T13:19:49.932216,1234AAAA,0,9.0,-102,5.67,3.78
2025-07-10T13:19:51.467974,1234AAAA,1,8.8,-101,5.67,3.78
2025-07-10T13:20:57.218473,1234AAAA,0,7.2,-109,5.67,5.67
2025-07-10T13:20:58.753879,1234AAAA,1,2.8,-113,5.67,5.67
2025-07-10T13:21:18.315094,1234AAAA,0,7.5,-99,3.78,5.67
2025-07-10T13:21:19.953630,1234AAAA,1,8.2,-96,3.78,5.67
2025-07-10T13:22:02.498032,1234AAAA,0,8.2,-105,1.89,5.67
2025-07-10T13:22:04.033509,1234AAAA,1,6.2,-103,1.89,5.67
2025-07-10T13:22:46.407917,1234AAAA,0,7.0,-107,0.0,5.67
2025-07-10T13:22:48.045723,1234AAAA,1,6.5,-102,0.0,5.67
2025-07-10T13:23:38.013661,1234AAAA,0,9.0,-99,0.0,7.56
2025-07-10T13:23:39.549702,1234AAAA,1,7.8,-102,0.0,7.56
2025-07-10T13:24:10.718424,1234AAAA,0,6.8,-106,1.89,7.56
2025-07-10T13:24:12.328439,1234AAAA,1,5.5,-108,1.89,7.56
2025-07-10T13:25:51.581821,1234AAAA,0,5.8,-105,3.78,7.56
2025-07-10T13:25:54.133844,1234AAAA,1,7.0,-105,3.78,7.56
2025-07-10T13:26:22.693686,1234AAAA,0,8.8,-105,5.67,7.56
2025-07-10T13:26:24.335058,1234AAAA,1,8.8,-99,5.67,7.56
2025-07-10T13:28:44.374275,1234AAAA,0,2.8,-113,5.67,9.45
2025-07-10T13:28:45.909656,1234AAAA,1,-4.8,-117,5.67,9.45
2025-07-10T13:29:23.168754,1234AAAA,0,6.2,-111,3.78,9.45
2025-07-10T13:29:24.669041,1234AAAA,1,5.8,-107,3.78,9.45
2025-07-10T13:30:26.128559,1234AAAA,0,9.0,-102,1.89,9.45
2025-07-10T13:30:27.664228,1234AAAA,1,7.5,-105,1.89,9.45
2025-07-10T13:30:46.296351,1234AAAA,0,7.5,-99,0.0,9.45
2025-07-10T13:30:47.937447,1234AAAA,1,8.0,-97,0.0,9.45
